time	V(n002)	V(n003)
1.681000000000000e-01	-5.076705e-04	2.538355e+00
1.681013800000000e-01	-5.076424e-04	2.538214e+00
1.681032200000000e-01	1.270211e+00	2.538073e+00
1.681050000000000e-01	4.999492e+00	2.538025e+00
1.681550000000000e-01	4.999491e+00	2.542942e+00
1.681555000000000e-01	1.666158e+00	2.542891e+00
1.681565000000000e-01	-5.085574e-04	2.542789e+00
1.681600000000000e-01	-5.084861e-04	2.542433e+00
1.682000000000000e-01	-5.076729e-04	2.538367e+00
1.682013800000000e-01	-5.076448e-04	2.538227e+00
1.682032200000000e-01	1.270211e+00	2.538085e+00
